	Adelidae	 Ammophila_sp	 Anaspidinae 	 Andrena_msp1	 Andrena_msp2	 Andrena_msp3	 Andrena_msp4	 Andrena_msp5	 Andrena_msp11	 Anthophora_sp	 Apis_mellifera	 Blattodea	 Bombus_terrestris	 Bombylius_sp	 Bruchinae	 Buprestidae	 Calliphora_sp	 Camponotus_cruentatus	 Cerambycidae	 Ceratina_msp1	 Ceratina_msp3	 Chalcididae	 Chelostoma_msp1	 Chelostoma_msp2	 Chrysanthia_sp	 Chrysomelidae_msp2	 Conopidae	 Conopidae_msp1	 Crematogaster_auberti	 Diptera_s	 Diptera_ms	 Dufourea_sp	 Empididae	 Enicopus_sp	 Eristalis_tenax	 Eristalis_nemorum	 Eumenes_sp	 Eupeodes_sp	 Falsomelyris_sp	 Flavipanurgus_flavus	 Heliotaurus_ruficollis	 Heterocera	 Hylaeus_variegatus	 Iberoformica_subrufa	 Ichneumonidae	 Lampides_boeticus	 Lasioglossum_msp1	 Lasioglossum_msp2	 Lasiommata_megera	 Lauxaniidae	 Lomatia_sp	 Malachinae	 Megachile_sp	 Meliguethes_sp	 Meloidae	 Microdynerus_sp	 Mordellidae	 Mylabris_sp	 Myopa_sp	 Nomada_sp	 Nomada_sexfasciata	 Osmia_msp2	 Osmia_msp4	 Panurgus_sp	 Pheidole_pallidula	 Plagiolepis_schmitzii	 Protaetia_sp	 Protosmia_msp1	 Pseudoanthidium_sp	 Pterophoridae	 Pyropteron_sp	 Rhynocoris_iracundus	 Scarabeidae_msp1	 Scarabeidae_msp2	 Sphaerophoria_scripta	 Stenopterus_rufus	 Stenurella_approximans	 Stenurella_nigra	 Stictoleptura_cordigera	 Tachina_sp	 Tachinidae_msp1	 Tachinidae_msp2	 Tachinidae_msp4	 Tettigoniidae	 Thysanoptera	 Trichodes_sp	 Trichodes_leucopsideus	 Usia_sp	 Volucella_elegans	 Xilocopa_cantabrita	 Xilocopa_violacea
Cla	0	0	0.761904762	0.761904762	0	0.761904762	0.761904762	0.761904762	0	0	1.523809524	0	2.285714286	0	0.761904762	0.761904762	0.761904762	19.80952381	0.761904762	0	0	0.761904762	0	0	0.761904762	0	0.761904762	0	3.80952381	4.571428571	10.66666667	0	0.761904762	35.80952381	1.523809524	0.761904762	0	0.761904762	6.095238095	3.047619048	59.42857143	1.523809524	0	19.80952381	0.761904762	0	12.95238095	0	0	0	0	2.285714286	0	5.333333333	0	0	0	0	0.761904762	0	0	0	0	0	0	0.761904762	0.761904762	0	0	0	0	0	0	0	0	0	0.761904762	0	0	0	0.761904762	0	0	3.80952381	3.80952381	0	0	9.142857143	0	0.761904762	0
Cpop	0	0	3	0.5	0	1	0	1	0	0.5	16	0.5	0	0	1	0	0	0	0	0	0	0	0.5	0	0	0	0	0	31	4.5	0.5	0	2	4	4	0	0.5	0	4.5	1	17.5	0	0.5	7	0	1	26.5	2.5	0	0.5	1	0	0	1	0	0	0.5	0	1	8	0	0.5	0	0.5	0	11.5	0	0	0	0	0.5	1	0	0.5	5.5	0.5	0.5	0	3.5	0.5	0.5	0	0.5	3.5	1	0	0	3	0.5	1.5	0.5
Tmas_total	2	1	0	0.333333333	0	1	0	3.666666667	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0.333333333	0	1.333333333	0	0	0	0	0.333333333	0	0	0	0	0	0.333333333	0	0	0.666666667	0	0	0	0.333333333	0	0	0	0	0	0.333333333	0	0.333333333	0	0.333333333	0	0	0	0	0.666666667	0	0	0	3	0.666666667	0	0.333333333	0	0	0	0	0.666666667	0	0.333333333	0	0	0	0	0	0	0	0	0	0	4.333333333	0.666666667	0	0	0	0	0	0	0	0	0
Trifol	0	0.529100529	0	0	0	0	0	0	0	0	0	0	0	0.529100529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.529100529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.092896175	0	0	0
Cre	0	0	0	0	0	0	0	1.5	6.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.5	0	0	0	2.5	0	0	0	32	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	4.5	0	0	0
Lsax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	1.5	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tolp	0	0	0	0	0	0	0	0.515463918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.515463918	0	0	0	0	0	0	0	0	0	0.515463918	0	0	0	0	0	0	0	0	0	0	0	0	4.12371134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.515463918	0	0	0
Campa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.426333823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.83700441	0	0	0
